train_number,train_type,section_id,scheduled_departure,scheduled_arrival,priority_class,day_of_week
22037,Freight,SEC_043,12:02:17,12:28:17,Goods,Monday
22113,Passenger,SEC_031,10:27:52,10:37:52,Mail Passenger,Monday
12068,Freight,SEC_033,02:43:57,03:11:57,Goods,Wednesday
12342,Passenger,SEC_039,11:13:47,11:29:47,Mail Passenger,Saturday
12208,Express,SEC_014,21:34:38,21:42:38,Superfast,Monday
12068,Express,SEC_013,20:02:33,20:12:33,Superfast,Saturday
12298,Express,SEC_024,21:41:26,21:48:26,Rajdhani,Tuesday
12236,Freight,SEC_031,14:57:56,15:14:56,Goods,Monday
12338,Express,SEC_032,19:27:06,19:32:06,Superfast,Monday
22483,Express,SEC_008,04:08:01,04:14:01,Rajdhani,Friday
12492,Express,SEC_039,17:26:38,17:33:38,Superfast,Monday
12232,Freight,SEC_018,11:42:11,12:10:11,Goods,Thursday
22015,Freight,SEC_043,23:16:35,23:34:35,Goods,Sunday
12034,Freight,SEC_036,13:20:19,13:47:19,Goods,Friday
22069,Freight,SEC_049,01:26:37,01:54:37,Goods,Wednesday
22009,Express,SEC_031,01:50:03,01:55:03,Superfast,Sunday
12322,Express,SEC_026,18:37:20,18:44:20,Superfast,Monday
22475,Freight,SEC_010,23:33:12,23:54:12,Goods,Tuesday
12376,Freight,SEC_020,03:04:36,03:29:36,Goods,Tuesday
22353,Express,SEC_043,21:50:07,21:57:07,Rajdhani,Monday
22159,Express,SEC_019,08:36:31,08:44:31,Superfast,Sunday
12354,Express,SEC_003,21:42:57,21:48:57,Superfast,Tuesday
12258,Passenger,SEC_013,07:33:11,07:44:11,Mail Passenger,Monday
12184,Freight,SEC_030,12:08:35,12:27:35,Goods,Sunday
22027,Express,SEC_031,09:54:36,10:01:36,Rajdhani,Sunday
12250,Passenger,SEC_049,05:11:21,05:30:21,Mail Passenger,Tuesday
22211,Freight,SEC_046,23:12:25,23:41:25,Goods,Wednesday
22279,Freight,SEC_027,22:35:56,22:51:56,Goods,Friday
22233,Express,SEC_028,00:53:57,01:03:57,Superfast,Wednesday
22383,Express,SEC_040,23:22:06,23:30:06,Superfast,Saturday
22451,Passenger,SEC_003,10:15:58,10:29:58,Mail Passenger,Tuesday
12254,Freight,SEC_030,03:42:41,04:00:41,Goods,Saturday
12170,Express,SEC_024,17:30:21,17:35:21,Superfast,Thursday
22153,Express,SEC_039,09:20:06,09:26:06,Rajdhani,Monday
12440,Passenger,SEC_040,07:47:55,07:57:55,Mail Passenger,Friday
12266,Express,SEC_033,19:19:32,19:24:32,Rajdhani,Monday
22485,Passenger,SEC_033,03:54:39,04:08:39,Mail Passenger,Saturday
12340,Express,SEC_034,09:45:53,09:53:53,Superfast,Sunday
22291,Express,SEC_029,19:32:14,19:39:14,Superfast,Tuesday
12028,Express,SEC_012,17:24:45,17:32:45,Superfast,Thursday
22367,Passenger,SEC_014,07:34:38,07:52:38,Mail Passenger,Wednesday
12236,Freight,SEC_037,01:02:08,01:17:08,Goods,Monday
22053,Freight,SEC_031,11:04:11,11:21:11,Goods,Friday
12172,Express,SEC_012,17:06:29,17:15:29,Superfast,Monday
22227,Express,SEC_044,18:13:56,18:22:56,Superfast,Monday
12448,Passenger,SEC_049,13:09:21,13:22:21,Mail Passenger,Saturday
12318,Express,SEC_031,20:57:26,21:06:26,Superfast,Tuesday
12194,Passenger,SEC_012,17:06:52,17:21:52,Mail Passenger,Sunday
12490,Passenger,SEC_046,19:54:04,20:07:04,Mail Passenger,Friday
12314,Express,SEC_012,09:33:14,09:40:14,Rajdhani,Thursday
22485,Express,SEC_022,10:25:22,10:35:22,Superfast,Wednesday
22227,Express,SEC_043,18:16:23,18:26:23,Superfast,Wednesday
22425,Express,SEC_026,08:47:18,08:55:18,Superfast,Tuesday
12406,Express,SEC_012,09:23:19,09:30:19,Superfast,Friday
22357,Freight,SEC_004,14:44:02,15:10:02,Goods,Friday
12464,Express,SEC_018,10:57:15,11:05:15,Superfast,Monday
12276,Freight,SEC_033,22:34:18,22:53:18,Goods,Wednesday
22041,Freight,SEC_036,23:28:41,23:43:41,Goods,Sunday
12188,Express,SEC_011,20:09:21,20:14:21,Superfast,Thursday
22009,Passenger,SEC_008,18:00:31,18:18:31,Mail Passenger,Tuesday
22131,Express,SEC_035,20:55:08,21:06:08,Superfast,Tuesday
12352,Express,SEC_008,17:29:15,17:38:15,Superfast,Tuesday
22063,Passenger,SEC_004,06:23:15,06:41:15,Mail Passenger,Sunday
22315,Freight,SEC_024,13:08:56,13:30:56,Goods,Wednesday
22317,Freight,SEC_028,04:58:47,05:14:47,Goods,Wednesday
22277,Freight,SEC_012,13:52:55,14:17:55,Goods,Monday
22345,Express,SEC_011,08:06:18,08:11:18,Superfast,Sunday
22215,Express,SEC_012,07:03:21,07:08:21,Superfast,Wednesday
22329,Passenger,SEC_017,10:38:29,10:51:29,Mail Passenger,Friday
12374,Express,SEC_001,20:27:03,20:32:03,Rajdhani,Saturday
22291,Freight,SEC_001,02:22:39,02:50:39,Goods,Wednesday
22351,Express,SEC_019,07:48:04,07:58:04,Rajdhani,Thursday
12382,Express,SEC_001,10:18:00,10:24:00,Superfast,Monday
12208,Express,SEC_016,10:22:38,10:28:38,Superfast,Friday
22457,Passenger,SEC_029,05:13:01,05:32:01,Mail Passenger,Friday
12162,Express,SEC_002,13:33:09,13:42:09,Superfast,Tuesday
12028,Freight,SEC_031,11:11:28,11:30:28,Goods,Tuesday
12480,Express,SEC_031,09:40:20,09:47:20,Superfast,Wednesday
22421,Express,SEC_029,17:08:07,17:16:07,Superfast,Friday
12202,Express,SEC_031,08:34:18,08:44:18,Superfast,Thursday
12106,Express,SEC_040,10:05:49,10:11:49,Superfast,Monday
12104,Express,SEC_004,01:24:01,01:32:01,Superfast,Friday
12286,Passenger,SEC_009,20:48:18,21:02:18,Mail Passenger,Friday
12480,Passenger,SEC_016,01:21:12,01:31:12,Mail Passenger,Tuesday
22157,Express,SEC_034,21:49:32,21:55:32,Superfast,Thursday
22353,Express,SEC_043,03:42:11,03:48:11,Superfast,Saturday
22181,Express,SEC_046,18:22:00,18:33:00,Superfast,Wednesday
22279,Express,SEC_029,13:30:19,13:41:19,Superfast,Monday
22319,Express,SEC_021,10:37:03,10:43:03,Superfast,Sunday
22383,Express,SEC_021,22:06:13,22:16:13,Superfast,Monday
12366,Passenger,SEC_003,01:02:02,01:17:02,Mail Passenger,Monday
12110,Express,SEC_023,09:06:57,09:12:57,Superfast,Tuesday
22055,Passenger,SEC_026,10:36:06,10:49:06,Mail Passenger,Saturday
12278,Passenger,SEC_011,21:29:57,21:47:57,Mail Passenger,Friday
12202,Express,SEC_038,10:46:21,10:52:21,Superfast,Tuesday
12136,Freight,SEC_040,03:02:02,03:21:02,Goods,Monday
12098,Passenger,SEC_015,18:55:37,19:10:37,Mail Passenger,Sunday
22431,Express,SEC_045,09:15:30,09:23:30,Superfast,Monday
12042,Express,SEC_006,09:21:29,09:30:29,Superfast,Sunday
12068,Passenger,SEC_045,08:54:53,09:08:53,Mail Passenger,Thursday
22171,Freight,SEC_038,00:31:58,00:56:58,Goods,Tuesday
12108,Express,SEC_011,04:36:22,04:43:22,Superfast,Wednesday
22033,Passenger,SEC_032,15:52:54,16:08:54,Mail Passenger,Wednesday
22121,Express,SEC_016,07:29:21,07:35:21,Superfast,Tuesday
12182,Express,SEC_040,22:37:12,22:46:12,Superfast,Thursday
12218,Express,SEC_008,09:09:34,09:15:34,Rajdhani,Friday
22263,Express,SEC_013,17:54:06,18:01:06,Superfast,Thursday
12066,Passenger,SEC_016,09:30:13,09:40:13,Mail Passenger,Friday
22489,Express,SEC_010,19:54:01,20:04:01,Superfast,Sunday
12272,Freight,SEC_017,23:35:07,23:56:07,Goods,Monday
12200,Freight,SEC_030,23:02:18,23:17:18,Goods,Saturday
12366,Freight,SEC_032,00:52:04,01:10:04,Goods,Tuesday
22467,Passenger,SEC_028,21:25:17,21:40:17,Mail Passenger,Monday
12004,Freight,SEC_010,12:02:36,12:27:36,Goods,Wednesday
12250,Express,SEC_010,07:33:38,07:42:38,Superfast,Wednesday
22443,Freight,SEC_046,23:09:20,23:31:20,Goods,Sunday
22117,Express,SEC_013,19:33:20,19:42:20,Superfast,Wednesday
12426,Express,SEC_006,19:28:29,19:39:29,Superfast,Saturday
22295,Express,SEC_023,21:53:22,22:00:22,Superfast,Sunday
22025,Passenger,SEC_001,08:51:52,09:07:52,Mail Passenger,Wednesday
12436,Express,SEC_017,19:26:37,19:32:37,Superfast,Tuesday
12034,Freight,SEC_042,13:53:42,14:10:42,Goods,Sunday
22355,Freight,SEC_014,03:08:46,03:32:46,Goods,Thursday
12286,Express,SEC_035,02:26:30,02:32:30,Superfast,Thursday
12396,Passenger,SEC_025,21:13:37,21:24:37,Mail Passenger,Saturday
12156,Passenger,SEC_018,20:39:51,20:52:51,Mail Passenger,Wednesday
12058,Express,SEC_033,06:42:05,06:47:05,Rajdhani,Thursday
22245,Express,SEC_030,08:27:30,08:36:30,Rajdhani,Sunday
12372,Passenger,SEC_016,04:19:10,04:37:10,Mail Passenger,Monday
22283,Passenger,SEC_011,09:55:30,10:13:30,Mail Passenger,Saturday
12042,Express,SEC_045,10:54:52,11:01:52,Superfast,Wednesday
12318,Express,SEC_009,18:42:09,18:49:09,Rajdhani,Thursday
12200,Freight,SEC_048,13:57:56,14:22:56,Goods,Sunday
22365,Passenger,SEC_024,18:26:04,18:43:04,Mail Passenger,Friday
22465,Express,SEC_049,21:42:18,21:53:18,Superfast,Wednesday
12428,Freight,SEC_018,13:37:33,13:56:33,Goods,Sunday
22499,Passenger,SEC_028,21:03:30,21:18:30,Mail Passenger,Friday
22303,Express,SEC_031,14:01:19,14:08:19,Rajdhani,Tuesday
22361,Express,SEC_017,19:35:34,19:45:34,Rajdhani,Monday
12052,Express,SEC_011,08:40:46,08:49:46,Superfast,Wednesday
12086,Passenger,SEC_026,17:08:54,17:21:54,Mail Passenger,Saturday
12068,Freight,SEC_033,03:17:10,03:41:10,Goods,Wednesday
22365,Freight,SEC_013,11:55:12,12:14:12,Goods,Tuesday
12306,Express,SEC_038,18:35:34,18:43:34,Superfast,Sunday
22459,Express,SEC_032,19:21:40,19:29:40,Rajdhani,Tuesday
12354,Freight,SEC_009,11:55:25,12:13:25,Goods,Monday
12436,Freight,SEC_046,23:01:17,23:26:17,Goods,Wednesday
22377,Express,SEC_003,17:11:58,17:21:58,Rajdhani,Monday
12314,Express,SEC_033,07:33:51,07:39:51,Superfast,Friday
22259,Freight,SEC_022,11:35:50,11:53:50,Goods,Thursday
22067,Express,SEC_033,00:35:10,00:42:10,Superfast,Sunday
12300,Express,SEC_038,07:41:50,07:51:50,Superfast,Tuesday
12264,Passenger,SEC_034,18:33:16,18:45:16,Mail Passenger,Tuesday
22487,Express,SEC_032,22:59:19,23:04:19,Superfast,Friday
12454,Passenger,SEC_042,07:12:26,07:28:26,Mail Passenger,Friday
12174,Express,SEC_035,05:02:17,05:09:17,Superfast,Wednesday
12094,Express,SEC_040,14:36:24,14:43:24,Rajdhani,Sunday
22107,Express,SEC_020,00:50:00,00:56:00,Superfast,Saturday
22243,Freight,SEC_010,13:08:15,13:25:15,Goods,Friday
12484,Passenger,SEC_012,21:16:41,21:30:41,Mail Passenger,Saturday
22431,Freight,SEC_030,23:47:26,00:13:26,Goods,Thursday
22459,Passenger,SEC_027,18:18:19,18:33:19,Mail Passenger,Thursday
22115,Freight,SEC_004,00:35:26,00:50:26,Goods,Thursday
22003,Passenger,SEC_011,10:39:34,10:58:34,Mail Passenger,Saturday
12336,Freight,SEC_048,04:11:08,04:31:08,Goods,Monday
12200,Freight,SEC_036,22:03:57,22:18:57,Goods,Monday
22231,Express,SEC_037,08:11:00,08:20:00,Superfast,Thursday
22367,Freight,SEC_010,01:43:41,02:02:41,Goods,Friday
12494,Express,SEC_004,20:04:39,20:13:39,Rajdhani,Tuesday
12088,Express,SEC_015,18:16:35,18:21:35,Superfast,Friday
12304,Express,SEC_042,19:10:35,19:21:35,Superfast,Monday
22015,Freight,SEC_025,00:49:06,01:12:06,Goods,Tuesday
12250,Passenger,SEC_039,10:20:05,10:37:05,Mail Passenger,Thursday
12018,Passenger,SEC_024,10:25:26,10:44:26,Mail Passenger,Monday
12408,Express,SEC_025,09:07:09,09:17:09,Superfast,Friday
12282,Passenger,SEC_030,09:05:50,09:19:50,Mail Passenger,Thursday
12128,Freight,SEC_047,14:00:07,14:20:07,Goods,Thursday
22115,Express,SEC_022,05:21:28,05:29:28,Superfast,Thursday
22327,Freight,SEC_030,23:43:38,00:09:38,Goods,Friday
12128,Express,SEC_046,02:18:40,02:25:40,Superfast,Friday
12192,Express,SEC_019,10:52:59,11:00:59,Superfast,Friday
22007,Passenger,SEC_042,21:41:01,22:00:01,Mail Passenger,Tuesday
12174,Express,SEC_027,19:32:33,19:39:33,Superfast,Friday
12362,Express,SEC_044,02:33:59,02:43:59,Superfast,Tuesday
12028,Express,SEC_023,19:33:55,19:39:55,Superfast,Monday
22421,Freight,SEC_031,13:07:32,13:34:32,Goods,Sunday
12134,Express,SEC_016,13:41:39,13:50:39,Superfast,Tuesday
12366,Express,SEC_032,09:02:40,09:12:40,Superfast,Monday
22069,Passenger,SEC_016,08:23:36,08:38:36,Mail Passenger,Wednesday
12068,Express,SEC_030,09:26:16,09:34:16,Rajdhani,Sunday
12434,Passenger,SEC_039,12:04:48,12:16:48,Mail Passenger,Sunday
12478,Passenger,SEC_022,08:17:49,08:30:49,Mail Passenger,Saturday
22133,Express,SEC_022,08:42:06,08:47:06,Superfast,Tuesday
22481,Express,SEC_016,17:36:42,17:41:42,Superfast,Friday
12408,Passenger,SEC_036,20:23:58,20:35:58,Mail Passenger,Saturday
22129,Express,SEC_030,10:10:36,10:15:36,Superfast,Wednesday
12402,Express,SEC_026,17:57:11,18:04:11,Superfast,Tuesday
22491,Express,SEC_002,10:27:53,10:33:53,Superfast,Sunday
22151,Passenger,SEC_006,10:56:18,11:15:18,Mail Passenger,Monday
12222,Passenger,SEC_001,19:53:33,20:04:33,Mail Passenger,Sunday
12144,Passenger,SEC_042,08:27:24,08:38:24,Mail Passenger,Thursday
12020,Freight,SEC_042,13:10:32,13:34:32,Goods,Saturday
22467,Express,SEC_004,02:51:25,03:00:25,Superfast,Wednesday
22287,Express,SEC_003,09:00:58,09:08:58,Superfast,Friday
22091,Express,SEC_039,15:54:54,15:59:54,Superfast,Sunday
22263,Passenger,SEC_026,21:00:17,21:10:17,Mail Passenger,Thursday
12390,Freight,SEC_016,22:14:37,22:30:37,Goods,Tuesday
22429,Passenger,SEC_031,10:38:33,10:51:33,Mail Passenger,Monday
22389,Freight,SEC_012,04:27:15,04:53:15,Goods,Sunday
22177,Passenger,SEC_010,04:53:07,05:08:07,Mail Passenger,Sunday
12462,Express,SEC_019,20:25:37,20:31:37,Superfast,Friday
22383,Passenger,SEC_044,09:08:16,09:24:16,Mail Passenger,Monday
22223,Freight,SEC_038,14:05:52,14:34:52,Goods,Sunday
22393,Freight,SEC_010,02:24:51,02:50:51,Goods,Thursday
12496,Freight,SEC_028,04:27:13,04:44:13,Goods,Tuesday
22017,Express,SEC_044,16:40:12,16:51:12,Superfast,Wednesday
12304,Freight,SEC_047,14:40:25,14:55:25,Goods,Sunday
12336,Express,SEC_038,15:36:16,15:47:16,Rajdhani,Saturday
12436,Freight,SEC_007,13:03:29,13:29:29,Goods,Friday
22239,Passenger,SEC_012,17:00:34,17:14:34,Mail Passenger,Saturday
22171,Express,SEC_011,10:42:40,10:48:40,Superfast,Saturday
22101,Express,SEC_008,08:59:05,09:04:05,Superfast,Friday
12206,Express,SEC_009,08:06:33,08:12:33,Superfast,Wednesday
12208,Express,SEC_016,21:24:57,21:33:57,Superfast,Monday
22415,Express,SEC_028,19:32:44,19:42:44,Superfast,Monday
12428,Passenger,SEC_020,05:38:05,05:53:05,Mail Passenger,Tuesday
22253,Passenger,SEC_021,07:58:02,08:16:02,Mail Passenger,Saturday
12344,Express,SEC_013,09:04:05,09:12:05,Superfast,Monday
22367,Express,SEC_008,17:22:11,17:30:11,Rajdhani,Monday
22313,Freight,SEC_049,01:30:30,01:59:30,Goods,Sunday
22375,Passenger,SEC_030,20:31:23,20:44:23,Mail Passenger,Wednesday
12040,Freight,SEC_012,00:40:30,01:09:30,Goods,Monday
22231,Passenger,SEC_040,09:43:15,10:02:15,Mail Passenger,Sunday
22333,Passenger,SEC_041,00:12:20,00:30:20,Mail Passenger,Sunday
22259,Express,SEC_048,21:13:38,21:23:38,Superfast,Thursday
22379,Express,SEC_008,18:37:20,18:48:20,Superfast,Monday
12158,Freight,SEC_032,12:40:09,13:06:09,Goods,Friday
12474,Express,SEC_049,08:06:12,08:17:12,Superfast,Sunday
12062,Express,SEC_040,16:01:03,16:10:03,Rajdhani,Sunday
22399,Express,SEC_012,20:19:20,20:25:20,Superfast,Friday
22363,Express,SEC_044,20:23:26,20:32:26,Superfast,Sunday
22039,Express,SEC_021,20:15:46,20:25:46,Superfast,Saturday
12122,Express,SEC_024,10:33:30,10:40:30,Superfast,Tuesday
22471,Freight,SEC_028,13:23:43,13:48:43,Goods,Friday
12340,Freight,SEC_038,01:00:31,01:16:31,Goods,Friday
22395,Passenger,SEC_006,21:00:26,21:19:26,Mail Passenger,Saturday
12422,Express,SEC_027,08:55:51,09:00:51,Superfast,Thursday
22001,Passenger,SEC_041,08:41:43,08:58:43,Mail Passenger,Saturday
22425,Freight,SEC_027,11:20:16,11:44:16,Goods,Friday
12356,Passenger,SEC_014,22:01:36,22:11:36,Mail Passenger,Tuesday
12122,Freight,SEC_003,23:07:19,23:25:19,Goods,Thursday
22151,Express,SEC_027,10:56:09,11:04:09,Superfast,Sunday
22197,Passenger,SEC_035,19:35:58,19:45:58,Mail Passenger,Saturday
12302,Passenger,SEC_027,20:46:14,20:59:14,Mail Passenger,Friday
12134,Freight,SEC_048,01:14:33,01:39:33,Goods,Wednesday
22141,Express,SEC_030,20:20:22,20:26:22,Superfast,Tuesday
12270,Freight,SEC_025,13:48:54,14:13:54,Goods,Tuesday
22365,Express,SEC_003,16:34:34,16:40:34,Superfast,Wednesday
22215,Express,SEC_028,20:03:50,20:08:50,Superfast,Sunday
22093,Express,SEC_009,08:25:18,08:35:18,Superfast,Thursday
12056,Freight,SEC_036,23:17:13,23:43:13,Goods,Wednesday
22417,Passenger,SEC_008,11:49:14,12:07:14,Mail Passenger,Sunday
12244,Passenger,SEC_045,20:00:07,20:11:07,Mail Passenger,Wednesday
12036,Express,SEC_015,19:54:29,20:00:29,Rajdhani,Saturday
12186,Express,SEC_022,18:50:09,18:58:09,Superfast,Friday
12012,Express,SEC_008,22:58:23,23:06:23,Superfast,Wednesday
12100,Passenger,SEC_011,08:19:01,08:32:01,Mail Passenger,Sunday
22065,Express,SEC_046,07:47:41,07:56:41,Superfast,Friday
22463,Passenger,SEC_014,10:02:46,10:16:46,Mail Passenger,Sunday
12192,Passenger,SEC_026,10:06:52,10:16:52,Mail Passenger,Monday
12086,Passenger,SEC_049,20:15:45,20:30:45,Mail Passenger,Tuesday
12328,Express,SEC_031,20:15:30,20:24:30,Superfast,Wednesday
22497,Express,SEC_003,19:49:01,19:56:01,Superfast,Friday
12240,Passenger,SEC_018,07:24:36,07:34:36,Mail Passenger,Saturday
22091,Express,SEC_019,07:53:25,08:03:25,Superfast,Monday
22237,Express,SEC_014,18:57:54,19:05:54,Superfast,Tuesday
22311,Passenger,SEC_012,18:19:30,18:36:30,Mail Passenger,Friday
12432,Express,SEC_025,08:04:46,08:13:46,Rajdhani,Wednesday
12070,Express,SEC_019,18:56:27,19:05:27,Rajdhani,Friday
22279,Passenger,SEC_015,03:36:37,03:51:37,Mail Passenger,Monday
12020,Freight,SEC_021,22:02:26,22:28:26,Goods,Thursday
22253,Freight,SEC_017,11:01:09,11:29:09,Goods,Monday
22007,Express,SEC_012,07:05:40,07:10:40,Rajdhani,Sunday
22209,Freight,SEC_023,23:58:58,00:27:58,Goods,Tuesday
22247,Express,SEC_047,21:42:10,21:53:10,Superfast,Tuesday
22489,Express,SEC_025,20:11:08,20:22:08,Superfast,Monday
12096,Express,SEC_030,18:27:47,18:37:47,Superfast,Tuesday
22121,Express,SEC_049,21:33:12,21:44:12,Superfast,Thursday
22289,Express,SEC_031,08:03:24,08:09:24,Rajdhani,Friday
22077,Express,SEC_011,10:31:03,10:38:03,Rajdhani,Sunday
22029,Freight,SEC_020,13:31:26,13:53:26,Goods,Sunday
12246,Freight,SEC_024,12:17:21,12:40:21,Goods,Monday
22119,Passenger,SEC_024,10:20:29,10:36:29,Mail Passenger,Wednesday
12338,Freight,SEC_008,04:36:40,04:51:40,Goods,Sunday
12046,Passenger,SEC_006,18:25:25,18:44:25,Mail Passenger,Tuesday
12010,Freight,SEC_018,01:21:56,01:49:56,Goods,Friday
22111,Express,SEC_045,23:55:44,00:02:44,Superfast,Wednesday
12428,Passenger,SEC_036,16:35:08,16:47:08,Mail Passenger,Tuesday
12276,Passenger,SEC_042,07:12:44,07:23:44,Mail Passenger,Monday
22141,Express,SEC_009,02:43:35,02:51:35,Superfast,Wednesday
12298,Freight,SEC_021,04:16:42,04:34:42,Goods,Monday
12322,Freight,SEC_029,23:42:48,00:01:48,Goods,Tuesday
22221,Freight,SEC_022,02:48:36,03:06:36,Goods,Thursday
12086,Passenger,SEC_021,17:14:50,17:33:50,Mail Passenger,Saturday
12184,Passenger,SEC_018,17:06:56,17:19:56,Mail Passenger,Thursday
22435,Express,SEC_003,06:59:15,07:10:15,Superfast,Saturday
12350,Freight,SEC_043,11:35:18,11:55:18,Goods,Monday
22179,Freight,SEC_046,13:12:41,13:38:41,Goods,Wednesday
22449,Express,SEC_004,19:27:23,19:38:23,Superfast,Friday
22093,Express,SEC_021,10:07:52,10:15:52,Rajdhani,Monday
22083,Express,SEC_026,00:04:53,00:12:53,Superfast,Friday
22009,Express,SEC_039,17:14:59,17:20:59,Superfast,Tuesday
22045,Freight,SEC_049,11:10:24,11:38:24,Goods,Wednesday
12154,Express,SEC_021,13:01:13,13:08:13,Superfast,Friday
22027,Passenger,SEC_037,14:35:47,14:45:47,Mail Passenger,Sunday
22189,Freight,SEC_046,11:52:21,12:18:21,Goods,Monday
12034,Express,SEC_041,21:15:41,21:24:41,Superfast,Thursday
22017,Express,SEC_015,07:36:25,07:45:25,Rajdhani,Thursday
22291,Express,SEC_041,17:24:39,17:35:39,Superfast,Monday
22277,Express,SEC_021,01:47:52,01:54:52,Rajdhani,Friday
22397,Freight,SEC_001,14:50:01,15:05:01,Goods,Monday
22227,Passenger,SEC_038,14:50:11,15:08:11,Mail Passenger,Friday
12432,Express,SEC_041,09:39:58,09:49:58,Rajdhani,Tuesday
12246,Passenger,SEC_017,17:58:04,18:17:04,Mail Passenger,Monday
22135,Express,SEC_023,19:13:33,19:22:33,Superfast,Monday
12066,Express,SEC_018,13:30:13,13:39:13,Superfast,Thursday
22245,Express,SEC_006,11:35:20,11:40:20,Superfast,Tuesday
22191,Freight,SEC_049,14:44:01,15:00:01,Goods,Thursday
12256,Passenger,SEC_002,17:07:11,17:22:11,Mail Passenger,Sunday
22483,Freight,SEC_028,00:36:59,00:54:59,Goods,Saturday
12026,Express,SEC_001,08:51:39,09:01:39,Superfast,Saturday
12178,Express,SEC_034,13:29:07,13:39:07,Superfast,Thursday
12068,Express,SEC_045,04:52:23,04:57:23,Rajdhani,Monday
12396,Passenger,SEC_032,10:41:04,10:53:04,Mail Passenger,Wednesday
12268,Freight,SEC_030,13:26:49,13:41:49,Goods,Monday
12062,Express,SEC_041,19:00:52,19:07:52,Superfast,Monday
12398,Freight,SEC_048,03:24:20,03:45:20,Goods,Wednesday
22061,Express,SEC_043,17:54:09,17:59:09,Superfast,Friday
22385,Express,SEC_012,20:42:32,20:47:32,Superfast,Saturday
22499,Express,SEC_028,08:15:10,08:24:10,Superfast,Friday
12256,Express,SEC_041,08:30:23,08:39:23,Rajdhani,Tuesday
12324,Express,SEC_015,03:59:15,04:05:15,Superfast,Saturday
22011,Express,SEC_034,00:09:01,00:20:01,Superfast,Sunday
12332,Freight,SEC_002,03:31:47,03:57:47,Goods,Friday
22075,Express,SEC_043,07:49:21,08:00:21,Superfast,Saturday
12212,Freight,SEC_031,04:16:54,04:31:54,Goods,Sunday
22257,Freight,SEC_037,13:27:18,13:44:18,Goods,Saturday
12380,Freight,SEC_041,12:48:49,13:09:49,Goods,Sunday
22391,Freight,SEC_011,13:45:51,14:06:51,Goods,Wednesday
12464,Express,SEC_023,05:33:23,05:41:23,Superfast,Wednesday
12376,Express,SEC_043,19:47:40,19:52:40,Superfast,Tuesday
22041,Freight,SEC_009,13:46:28,14:03:28,Goods,Tuesday
12342,Passenger,SEC_041,08:58:24,09:15:24,Mail Passenger,Thursday
12086,Freight,SEC_015,02:29:39,02:53:39,Goods,Sunday
22473,Passenger,SEC_029,06:18:47,06:29:47,Mail Passenger,Tuesday
22433,Passenger,SEC_025,19:49:46,20:04:46,Mail Passenger,Friday
12154,Express,SEC_034,21:24:44,21:30:44,Superfast,Monday
22039,Express,SEC_041,08:16:29,08:25:29,Superfast,Sunday
12452,Passenger,SEC_018,15:09:08,15:22:08,Mail Passenger,Thursday
22179,Passenger,SEC_009,02:42:46,02:57:46,Mail Passenger,Thursday
22425,Express,SEC_021,12:35:27,12:40:27,Superfast,Wednesday
22041,Freight,SEC_030,11:02:59,11:30:59,Goods,Sunday
12126,Passenger,SEC_037,17:07:36,17:26:36,Mail Passenger,Wednesday
22203,Passenger,SEC_037,10:12:44,10:23:44,Mail Passenger,Monday
22063,Express,SEC_017,21:39:00,21:49:00,Rajdhani,Thursday
22223,Passenger,SEC_046,09:56:12,10:06:12,Mail Passenger,Friday
12462,Passenger,SEC_005,09:21:13,09:36:13,Mail Passenger,Saturday
12090,Passenger,SEC_006,05:13:42,05:26:42,Mail Passenger,Thursday
22209,Express,SEC_002,10:19:17,10:24:17,Superfast,Tuesday
12040,Passenger,SEC_046,03:10:51,03:28:51,Mail Passenger,Monday
22329,Express,SEC_009,23:50:05,23:58:05,Rajdhani,Sunday
12208,Freight,SEC_030,00:13:02,00:32:02,Goods,Tuesday
12254,Freight,SEC_040,03:01:42,03:16:42,Goods,Wednesday
22257,Passenger,SEC_038,20:13:59,20:23:59,Mail Passenger,Tuesday
12328,Express,SEC_047,10:55:23,11:01:23,Superfast,Tuesday
12368,Freight,SEC_003,22:22:49,22:39:49,Goods,Monday
12484,Express,SEC_020,04:42:14,04:48:14,Superfast,Wednesday
12362,Passenger,SEC_025,17:07:22,17:17:22,Mail Passenger,Sunday
12422,Passenger,SEC_035,08:44:07,08:55:07,Mail Passenger,Tuesday
12034,Express,SEC_031,20:11:17,20:16:17,Rajdhani,Sunday
22061,Freight,SEC_028,04:47:29,05:08:29,Goods,Friday
12218,Passenger,SEC_016,18:17:36,18:29:36,Mail Passenger,Sunday
22069,Express,SEC_006,08:26:44,08:31:44,Superfast,Friday
22421,Passenger,SEC_022,17:34:39,17:48:39,Mail Passenger,Sunday
22429,Express,SEC_013,17:28:51,17:34:51,Rajdhani,Thursday
12298,Express,SEC_028,00:27:34,00:35:34,Superfast,Saturday
22243,Express,SEC_040,17:05:21,17:10:21,Superfast,Monday
22427,Express,SEC_028,18:33:47,18:43:47,Rajdhani,Sunday
22283,Express,SEC_029,21:57:08,22:08:08,Superfast,Monday
22475,Express,SEC_003,10:44:07,10:54:07,Superfast,Tuesday
12402,Express,SEC_032,17:29:42,17:34:42,Superfast,Saturday
22167,Express,SEC_022,06:26:21,06:31:21,Superfast,Tuesday
22323,Express,SEC_007,22:14:48,22:20:48,Superfast,Monday
