station_code,field,severity,description,raw_value,detected_at
RHE,station_code,MEDIUM,OGD station code 'RHE' not found in OSM dataset.,RHE,2026-09-06T11:41:48.353099
VAA,station_code,MEDIUM,OGD station code 'VAA' not found in OSM dataset.,VAA,2026-09-06T11:41:48.353099
DNM,station_code,MEDIUM,OGD station code 'DNM' not found in OSM dataset.,DNM,2026-09-06T11:41:48.353099
JPH,station_code,MEDIUM,OGD station code 'JPH' not found in OSM dataset.,JPH,2026-09-06T11:41:48.353099
ANR,station_code,MEDIUM,OGD station code 'ANR' not found in OSM dataset.,ANR,2026-09-06T11:41:48.353099
SBPY,station_code,MEDIUM,OGD station code 'SBPY' not found in OSM dataset.,SBPY,2026-09-06T11:41:48.353099
TLHD,station_code,MEDIUM,OGD station code 'TLHD' not found in OSM dataset.,TLHD,2026-09-06T11:41:48.353099
BIY,station_code,MEDIUM,OGD station code 'BIY' not found in OSM dataset.,BIY,2026-09-06T11:41:48.353099
MID,station_code,MEDIUM,OGD station code 'MID' not found in OSM dataset.,MID,2026-09-06T11:41:48.353099
NWU,station_code,MEDIUM,OGD station code 'NWU' not found in OSM dataset.,NWU,2026-09-06T11:41:48.353099
SNK,station_code,MEDIUM,OGD station code 'SNK' not found in OSM dataset.,SNK,2026-09-06T11:41:48.353099
DXG,station_code,MEDIUM,OGD station code 'DXG' not found in OSM dataset.,DXG,2026-09-06T11:41:48.353099
BPHB,station_code,MEDIUM,OGD station code 'BPHB' not found in OSM dataset.,BPHB,2026-09-06T11:41:48.353099
BPH,station_code,MEDIUM,OGD station code 'BPH' not found in OSM dataset.,BPH,2026-09-06T11:41:48.353099
BMB,station_code,MEDIUM,OGD station code 'BMB' not found in OSM dataset.,BMB,2026-09-06T11:41:48.353099
GP,station_code,MEDIUM,OGD station code 'GP' not found in OSM dataset.,GP,2026-09-06T11:41:48.353099
MCA,station_code,MEDIUM,OGD station code 'MCA' not found in OSM dataset.,MCA,2026-09-06T11:41:48.357521
NRG,station_code,MEDIUM,OGD station code 'NRG' not found in OSM dataset.,NRG,2026-09-06T11:41:48.357521
MCS,station_code,MEDIUM,OGD station code 'MCS' not found in OSM dataset.,MCS,2026-09-06T11:41:48.357521
KASR,station_code,MEDIUM,OGD station code 'KASR' not found in OSM dataset.,KASR,2026-09-06T11:41:48.357521
DEG,station_code,MEDIUM,OGD station code 'DEG' not found in OSM dataset.,DEG,2026-09-06T11:41:48.357521
SIL,station_code,MEDIUM,OGD station code 'SIL' not found in OSM dataset.,SIL,2026-09-06T11:41:48.357521
NWP,station_code,MEDIUM,OGD station code 'NWP' not found in OSM dataset.,NWP,2026-09-06T11:41:48.359371
CPP,station_code,MEDIUM,OGD station code 'CPP' not found in OSM dataset.,CPP,2026-09-06T11:41:48.359371
KAPG,station_code,MEDIUM,OGD station code 'KAPG' not found in OSM dataset.,KAPG,2026-09-06T11:41:48.359371
KIT,station_code,MEDIUM,OGD station code 'KIT' not found in OSM dataset.,KIT,2026-09-06T11:41:48.359371
KATI,station_code,MEDIUM,OGD station code 'KATI' not found in OSM dataset.,KATI,2026-09-06T11:41:48.359371
DGHA,station_code,MEDIUM,OGD station code 'DGHA' not found in OSM dataset.,DGHA,2026-09-06T11:41:48.359371
AJU,station_code,MEDIUM,OGD station code 'AJU' not found in OSM dataset.,AJU,2026-09-06T11:41:48.359371
KGB,station_code,MEDIUM,OGD station code 'KGB' not found in OSM dataset.,KGB,2026-09-06T11:41:48.359371
BIG,station_code,MEDIUM,OGD station code 'BIG' not found in OSM dataset.,BIG,2026-09-06T11:41:48.359371
AAL,station_code,MEDIUM,OGD station code 'AAL' not found in OSM dataset.,AAL,2026-09-06T11:41:48.359371
BYL,station_code,MEDIUM,OGD station code 'BYL' not found in OSM dataset.,BYL,2026-09-06T11:41:48.359371
SLH,station_code,MEDIUM,OGD station code 'SLH' not found in OSM dataset.,SLH,2026-09-06T11:41:48.359371
ULB,station_code,MEDIUM,OGD station code 'ULB' not found in OSM dataset.,ULB,2026-09-06T11:41:48.359371
RMRB,station_code,MEDIUM,OGD station code 'RMRB' not found in OSM dataset.,RMRB,2026-09-06T11:41:48.359371
BBM,station_code,MEDIUM,OGD station code 'BBM' not found in OSM dataset.,BBM,2026-09-06T11:41:48.359371
GUD,station_code,MEDIUM,OGD station code 'GUD' not found in OSM dataset.,GUD,2026-09-06T11:41:48.359371
SWR,station_code,MEDIUM,OGD station code 'SWR' not found in OSM dataset.,SWR,2026-09-06T11:41:48.359371
GOL,station_code,MEDIUM,OGD station code 'GOL' not found in OSM dataset.,GOL,2026-09-06T11:41:48.359371
MOU,station_code,MEDIUM,OGD station code 'MOU' not found in OSM dataset.,MOU,2026-09-06T11:41:48.359371
BNDM,station_code,MEDIUM,OGD station code 'BNDM' not found in OSM dataset.,BNDM,2026-09-06T11:41:48.359371
GPH,station_code,MEDIUM,OGD station code 'GPH' not found in OSM dataset.,GPH,2026-09-06T11:41:48.359371
BEH,station_code,MEDIUM,OGD station code 'BEH' not found in OSM dataset.,BEH,2026-09-06T11:41:48.359371
RGL,station_code,MEDIUM,OGD station code 'RGL' not found in OSM dataset.,RGL,2026-09-06T11:41:48.359371
HKG,station_code,MEDIUM,OGD station code 'HKG' not found in OSM dataset.,HKG,2026-09-06T11:41:48.359371
BRPL,station_code,MEDIUM,OGD station code 'BRPL' not found in OSM dataset.,BRPL,2026-09-06T11:41:48.359371
LSX,station_code,MEDIUM,OGD station code 'LSX' not found in OSM dataset.,LSX,2026-09-06T11:41:48.359371
SFC,station_code,MEDIUM,OGD station code 'SFC' not found in OSM dataset.,SFC,2026-09-06T11:41:48.363135
RMT,station_code,MEDIUM,OGD station code 'RMT' not found in OSM dataset.,RMT,2026-09-06T11:41:48.363135
RBGJ,station_code,MEDIUM,OGD station code 'RBGJ' not found in OSM dataset.,RBGJ,2026-09-06T11:41:48.363135
GNG,station_code,MEDIUM,OGD station code 'GNG' not found in OSM dataset.,GNG,2026-09-06T11:41:48.363135
MXK,station_code,MEDIUM,OGD station code 'MXK' not found in OSM dataset.,MXK,2026-09-06T11:41:48.363135
JPL,station_code,MEDIUM,OGD station code 'JPL' not found in OSM dataset.,JPL,2026-09-06T11:41:48.363135
NBG,station_code,MEDIUM,OGD station code 'NBG' not found in OSM dataset.,NBG,2026-09-06T11:41:48.363135
CJN,station_code,MEDIUM,OGD station code 'CJN' not found in OSM dataset.,CJN,2026-09-06T11:41:48.363135
SNTD,station_code,MEDIUM,OGD station code 'SNTD' not found in OSM dataset.,SNTD,2026-09-06T11:41:48.363135
BGY,station_code,MEDIUM,OGD station code 'BGY' not found in OSM dataset.,BGY,2026-09-06T11:41:48.363135
BPO,station_code,MEDIUM,OGD station code 'BPO' not found in OSM dataset.,BPO,2026-09-06T11:41:48.363135
KCV,station_code,MEDIUM,OGD station code 'KCV' not found in OSM dataset.,KCV,2026-09-06T11:41:48.363135
BTQ,station_code,MEDIUM,OGD station code 'BTQ' not found in OSM dataset.,BTQ,2026-09-06T11:41:48.363135
JOL,station_code,MEDIUM,OGD station code 'JOL' not found in OSM dataset.,JOL,2026-09-06T11:41:48.363135
JRG,station_code,MEDIUM,OGD station code 'JRG' not found in OSM dataset.,JRG,2026-09-06T11:41:48.363135
TKH,station_code,MEDIUM,OGD station code 'TKH' not found in OSM dataset.,TKH,2026-09-06T11:41:48.363135
MKO,station_code,MEDIUM,OGD station code 'MKO' not found in OSM dataset.,MKO,2026-09-06T11:41:48.363135
NQR,station_code,MEDIUM,OGD station code 'NQR' not found in OSM dataset.,NQR,2026-09-06T11:41:48.363135
MRDL,station_code,MEDIUM,OGD station code 'MRDL' not found in OSM dataset.,MRDL,2026-09-06T11:41:48.363135
BONA,station_code,MEDIUM,OGD station code 'BONA' not found in OSM dataset.,BONA,2026-09-06T11:41:48.363135
RAIR,station_code,MEDIUM,OGD station code 'RAIR' not found in OSM dataset.,RAIR,2026-09-06T11:41:48.363135
PLG,station_code,MEDIUM,OGD station code 'PLG' not found in OSM dataset.,PLG,2026-09-06T11:41:48.363135
MUT,station_code,MEDIUM,OGD station code 'MUT' not found in OSM dataset.,MUT,2026-09-06T11:41:48.363135
PBR,station_code,MEDIUM,OGD station code 'PBR' not found in OSM dataset.,PBR,2026-09-06T11:41:48.363135
LPJ,station_code,MEDIUM,OGD station code 'LPJ' not found in OSM dataset.,LPJ,2026-09-06T11:41:48.363135
UJA,station_code,MEDIUM,OGD station code 'UJA' not found in OSM dataset.,UJA,2026-09-06T11:41:48.363135
BLA,station_code,MEDIUM,OGD station code 'BLA' not found in OSM dataset.,BLA,2026-09-06T11:41:48.363135
SGRR,station_code,MEDIUM,OGD station code 'SGRR' not found in OSM dataset.,SGRR,2026-09-06T11:41:48.363135
MNWL,station_code,MEDIUM,OGD station code 'MNWL' not found in OSM dataset.,MNWL,2026-09-06T11:41:48.363135
CRWL,station_code,MEDIUM,OGD station code 'CRWL' not found in OSM dataset.,CRWL,2026-09-06T11:41:48.363135
ADH,station_code,MEDIUM,OGD station code 'ADH' not found in OSM dataset.,ADH,2026-09-06T11:41:48.363135
BIM,station_code,MEDIUM,OGD station code 'BIM' not found in OSM dataset.,BIM,2026-09-06T11:41:48.363135
AML,station_code,MEDIUM,OGD station code 'AML' not found in OSM dataset.,AML,2026-09-06T11:41:48.363135
MRL,station_code,MEDIUM,OGD station code 'MRL' not found in OSM dataset.,MRL,2026-09-06T11:41:48.363135
SCH,station_code,MEDIUM,OGD station code 'SCH' not found in OSM dataset.,SCH,2026-09-06T11:41:48.363135
VS,station_code,MEDIUM,OGD station code 'VS' not found in OSM dataset.,VS,2026-09-06T11:41:48.363135
KIM,station_code,MEDIUM,OGD station code 'KIM' not found in OSM dataset.,KIM,2026-09-06T11:41:48.363135
KSB,station_code,MEDIUM,OGD station code 'KSB' not found in OSM dataset.,KSB,2026-09-06T11:41:48.363135
PLJ,station_code,MEDIUM,OGD station code 'PLJ' not found in OSM dataset.,PLJ,2026-09-06T11:41:48.363135
MYG,station_code,MEDIUM,OGD station code 'MYG' not found in OSM dataset.,MYG,2026-09-06T11:41:48.363135
SMLA,station_code,MEDIUM,OGD station code 'SMLA' not found in OSM dataset.,SMLA,2026-09-06T11:41:48.363135
PPD,station_code,MEDIUM,OGD station code 'PPD' not found in OSM dataset.,PPD,2026-09-06T11:41:48.363135
LMK,station_code,MEDIUM,OGD station code 'LMK' not found in OSM dataset.,LMK,2026-09-06T11:41:48.363135
VR,station_name,LOW,Name matched by fuzzy substring (OGD='Virar' ~ OSM='Virarakkiyam'); verify manually.,,2026-09-06T11:41:48.363135
BVC,station_code,MEDIUM,OGD station code 'BVC' not found in OSM dataset.,BVC,2026-09-06T11:41:48.363135
SGD,station_code,MEDIUM,OGD station code 'SGD' not found in OSM dataset.,SGD,2026-09-06T11:41:48.363135
DLJ,station_code,MEDIUM,OGD station code 'DLJ' not found in OSM dataset.,DLJ,2026-09-06T11:41:48.363135
BTD,station_code,MEDIUM,OGD station code 'BTD' not found in OSM dataset.,BTD,2026-09-06T11:41:48.363135
JVN,station_code,MEDIUM,OGD station code 'JVN' not found in OSM dataset.,JVN,2026-09-06T11:41:48.363135
MHV,station_code,MEDIUM,OGD station code 'MHV' not found in OSM dataset.,MHV,2026-09-06T11:41:48.363135
RLA,station_code,MEDIUM,OGD station code 'RLA' not found in OSM dataset.,RLA,2026-09-06T11:41:48.363135
SVKD,station_code,MEDIUM,OGD station code 'SVKD' not found in OSM dataset.,SVKD,2026-09-06T11:41:48.363135
LMO,station_code,MEDIUM,OGD station code 'LMO' not found in OSM dataset.,LMO,2026-09-06T11:41:48.363135
DAS,station_code,MEDIUM,OGD station code 'DAS' not found in OSM dataset.,DAS,2026-09-06T11:41:48.363135
LM,station_code,MEDIUM,OGD station code 'LM' not found in OSM dataset.,LM,2026-09-06T11:41:48.363135
WC,station_code,MEDIUM,OGD station code 'WC' not found in OSM dataset.,WC,2026-09-06T11:41:48.363135
WSJ,station_code,MEDIUM,OGD station code 'WSJ' not found in OSM dataset.,WSJ,2026-09-06T11:41:48.363135
JDH,station_code,MEDIUM,OGD station code 'JDH' not found in OSM dataset.,JDH,2026-09-06T11:41:48.363135
UA,station_code,MEDIUM,OGD station code 'UA' not found in OSM dataset.,UA,2026-09-06T11:41:48.363135
DISA,station_code,MEDIUM,OGD station code 'DISA' not found in OSM dataset.,DISA,2026-09-06T11:41:48.363135
DEOR,station_code,MEDIUM,OGD station code 'DEOR' not found in OSM dataset.,DEOR,2026-09-06T11:41:48.363135
RDHP,station_code,MEDIUM,OGD station code 'RDHP' not found in OSM dataset.,RDHP,2026-09-06T11:41:48.363135
SNLR,station_code,MEDIUM,OGD station code 'SNLR' not found in OSM dataset.,SNLR,2026-09-06T11:41:48.363135
AAR,station_code,MEDIUM,OGD station code 'AAR' not found in OSM dataset.,AAR,2026-09-06T11:41:48.363135
THDR,station_code,MEDIUM,OGD station code 'THDR' not found in OSM dataset.,THDR,2026-09-06T11:41:48.363135
BMI,station_code,MEDIUM,OGD station code 'BMI' not found in OSM dataset.,BMI,2026-09-06T11:41:48.363135
SRGT,station_code,MEDIUM,OGD station code 'SRGT' not found in OSM dataset.,SRGT,2026-09-06T11:41:48.363135
RUR,station_code,MEDIUM,OGD station code 'RUR' not found in OSM dataset.,RUR,2026-09-06T11:41:48.363135
SOJN,station_code,MEDIUM,OGD station code 'SOJN' not found in OSM dataset.,SOJN,2026-09-06T11:41:48.363135
BVP,station_code,MEDIUM,OGD station code 'BVP' not found in OSM dataset.,BVP,2026-09-06T11:41:48.363135
AEL,station_code,MEDIUM,OGD station code 'AEL' not found in OSM dataset.,AEL,2026-09-06T11:41:48.363135
SMPR,station_code,MEDIUM,OGD station code 'SMPR' not found in OSM dataset.,SMPR,2026-09-06T11:41:48.363135
RNW,station_code,MEDIUM,OGD station code 'RNW' not found in OSM dataset.,RNW,2026-09-06T11:41:48.363135
CHP,station_code,MEDIUM,OGD station code 'CHP' not found in OSM dataset.,CHP,2026-09-06T11:41:48.363135
SOH,station_code,MEDIUM,OGD station code 'SOH' not found in OSM dataset.,SOH,2026-09-06T11:41:48.363135
SOD,station_code,MEDIUM,OGD station code 'SOD' not found in OSM dataset.,SOD,2026-09-06T11:41:48.363135
FAN,station_code,MEDIUM,OGD station code 'FAN' not found in OSM dataset.,FAN,2026-09-06T11:41:48.363135
MDL,station_code,MEDIUM,OGD station code 'MDL' not found in OSM dataset.,MDL,2026-09-06T11:41:48.363135
GBP,station_code,MEDIUM,OGD station code 'GBP' not found in OSM dataset.,GBP,2026-09-06T11:41:48.363135
JAO,station_code,MEDIUM,OGD station code 'JAO' not found in OSM dataset.,JAO,2026-09-06T11:41:48.372994
NBH,station_code,MEDIUM,OGD station code 'NBH' not found in OSM dataset.,NBH,2026-09-06T11:41:48.372994
BSE,station_code,MEDIUM,OGD station code 'BSE' not found in OSM dataset.,BSE,2026-09-06T11:41:48.372994
BCN,station_code,MEDIUM,OGD station code 'BCN' not found in OSM dataset.,BCN,2026-09-06T11:41:48.372994
ROZA,station_code,MEDIUM,OGD station code 'ROZA' not found in OSM dataset.,ROZA,2026-09-06T11:41:48.372994
VDS,station_code,MEDIUM,OGD station code 'VDS' not found in OSM dataset.,VDS,2026-09-06T11:41:48.372994
GHR,station_code,MEDIUM,OGD station code 'GHR' not found in OSM dataset.,GHR,2026-09-06T11:41:48.372994
MKB,station_code,MEDIUM,OGD station code 'MKB' not found in OSM dataset.,MKB,2026-09-06T11:41:48.372994
DMRX,station_code,MEDIUM,OGD station code 'DMRX' not found in OSM dataset.,DMRX,2026-09-06T11:41:48.372994
MOR,station_code,MEDIUM,OGD station code 'MOR' not found in OSM dataset.,MOR,2026-09-06T11:41:48.372994
PHK,station_code,MEDIUM,OGD station code 'PHK' not found in OSM dataset.,PHK,2026-09-06T11:41:48.372994
ATL,station_code,MEDIUM,OGD station code 'ATL' not found in OSM dataset.,ATL,2026-09-06T11:41:48.372994
GZH,station_code,MEDIUM,OGD station code 'GZH' not found in OSM dataset.,GZH,2026-09-06T11:41:48.372994
NEO,station_code,MEDIUM,OGD station code 'NEO' not found in OSM dataset.,NEO,2026-09-06T11:41:48.375138
SDE,station_code,MEDIUM,OGD station code 'SDE' not found in OSM dataset.,SDE,2026-09-06T11:41:48.375138
KWR,station_code,MEDIUM,OGD station code 'KWR' not found in OSM dataset.,KWR,2026-09-06T11:41:48.375138
KUA,station_code,MEDIUM,OGD station code 'KUA' not found in OSM dataset.,KUA,2026-09-06T11:41:48.375138
BYN,station_code,MEDIUM,OGD station code 'BYN' not found in OSM dataset.,BYN,2026-09-06T11:41:48.375138
BRE,station_code,MEDIUM,OGD station code 'BRE' not found in OSM dataset.,BRE,2026-09-06T11:41:48.375138
KGA,station_code,MEDIUM,OGD station code 'KGA' not found in OSM dataset.,KGA,2026-09-06T11:41:48.375138
BKO,station_code,MEDIUM,OGD station code 'BKO' not found in OSM dataset.,BKO,2026-09-06T11:41:48.376077
ULD,station_code,MEDIUM,OGD station code 'ULD' not found in OSM dataset.,ULD,2026-09-06T11:41:48.376077
JGR,station_code,MEDIUM,OGD station code 'JGR' not found in OSM dataset.,JGR,2026-09-06T11:41:48.376077
BDN,station_code,MEDIUM,OGD station code 'BDN' not found in OSM dataset.,BDN,2026-09-06T11:41:48.376077
AST,station_code,MEDIUM,OGD station code 'AST' not found in OSM dataset.,AST,2026-09-06T11:41:48.376077
FDN,station_code,MEDIUM,OGD station code 'FDN' not found in OSM dataset.,FDN,2026-09-06T11:41:48.376077
JNA,station_code,MEDIUM,OGD station code 'JNA' not found in OSM dataset.,JNA,2026-09-06T11:41:48.376077
UCA,station_code,MEDIUM,OGD station code 'UCA' not found in OSM dataset.,UCA,2026-09-06T11:41:48.376077
DSB,station_code,MEDIUM,OGD station code 'DSB' not found in OSM dataset.,DSB,2026-09-06T11:41:48.376077
SRP,station_code,MEDIUM,OGD station code 'SRP' not found in OSM dataset.,SRP,2026-09-06T11:41:48.376077
CGR,station_code,MEDIUM,OGD station code 'CGR' not found in OSM dataset.,CGR,2026-09-06T11:41:48.376077
PSB,station_code,MEDIUM,OGD station code 'PSB' not found in OSM dataset.,PSB,2026-09-06T11:41:48.376077
TKN,station_code,MEDIUM,OGD station code 'TKN' not found in OSM dataset.,TKN,2026-09-06T11:41:48.376077
JHN,station_code,MEDIUM,OGD station code 'JHN' not found in OSM dataset.,JHN,2026-09-06T11:41:48.376077
PES,station_code,MEDIUM,OGD station code 'PES' not found in OSM dataset.,PES,2026-09-06T11:41:48.378092
SEB,station_code,MEDIUM,OGD station code 'SEB' not found in OSM dataset.,SEB,2026-09-06T11:41:48.378092
DGO,station_code,MEDIUM,OGD station code 'DGO' not found in OSM dataset.,DGO,2026-09-06T11:41:48.378092
KMS,station_code,MEDIUM,OGD station code 'KMS' not found in OSM dataset.,KMS,2026-09-06T11:41:48.378092
SYJ,station_code,MEDIUM,OGD station code 'SYJ' not found in OSM dataset.,SYJ,2026-09-06T11:41:48.378092
BTP,station_code,MEDIUM,OGD station code 'BTP' not found in OSM dataset.,BTP,2026-09-06T11:41:48.378092
KSF,station_code,MEDIUM,OGD station code 'KSF' not found in OSM dataset.,KSF,2026-09-06T11:41:48.378092
JLL,station_code,MEDIUM,OGD station code 'JLL' not found in OSM dataset.,JLL,2026-09-06T11:41:48.378092
BWI,station_code,MEDIUM,OGD station code 'BWI' not found in OSM dataset.,BWI,2026-09-06T11:41:48.378092
GGJ,station_code,MEDIUM,OGD station code 'GGJ' not found in OSM dataset.,GGJ,2026-09-06T11:41:48.378092
ACND,station_code,MEDIUM,OGD station code 'ACND' not found in OSM dataset.,ACND,2026-09-06T11:41:48.378092
SLW,station_code,MEDIUM,OGD station code 'SLW' not found in OSM dataset.,SLW,2026-09-06T11:41:48.378092
DYD,station_code,MEDIUM,OGD station code 'DYD' not found in OSM dataset.,DYD,2026-09-06T11:41:48.378092
SGJ,station_code,MEDIUM,OGD station code 'SGJ' not found in OSM dataset.,SGJ,2026-09-06T11:41:48.378092
AJI,station_code,MEDIUM,OGD station code 'AJI' not found in OSM dataset.,AJI,2026-09-06T11:41:48.378092
TLH,station_code,MEDIUM,OGD station code 'TLH' not found in OSM dataset.,TLH,2026-09-06T11:41:48.378092
PMR,station_code,MEDIUM,OGD station code 'PMR' not found in OSM dataset.,PMR,2026-09-06T11:41:48.378092
NRS,station_code,MEDIUM,OGD station code 'NRS' not found in OSM dataset.,NRS,2026-09-06T11:41:48.378092
RWL,station_code,MEDIUM,OGD station code 'RWL' not found in OSM dataset.,RWL,2026-09-06T11:41:48.378092
DWO,station_code,MEDIUM,OGD station code 'DWO' not found in OSM dataset.,DWO,2026-09-06T11:41:48.378092
KS,station_code,MEDIUM,OGD station code 'KS' not found in OSM dataset.,KS,2026-09-06T11:41:48.378092
BDH,station_code,MEDIUM,OGD station code 'BDH' not found in OSM dataset.,BDH,2026-09-06T11:41:48.378092
MLV,station_code,MEDIUM,OGD station code 'MLV' not found in OSM dataset.,MLV,2026-09-06T11:41:48.378092
NHT,station_code,MEDIUM,OGD station code 'NHT' not found in OSM dataset.,NHT,2026-09-06T11:41:48.378092
MRR,station_code,MEDIUM,OGD station code 'MRR' not found in OSM dataset.,MRR,2026-09-06T11:41:48.378092
RJG,station_code,MEDIUM,OGD station code 'RJG' not found in OSM dataset.,RJG,2026-09-06T11:41:48.378092
TDLE,station_code,MEDIUM,OGD station code 'TDLE' not found in OSM dataset.,TDLE,2026-09-06T11:41:48.378092
SHE,station_code,MEDIUM,OGD station code 'SHE' not found in OSM dataset.,SHE,2026-09-06T11:41:48.378092
MGAE,station_code,MEDIUM,OGD station code 'MGAE' not found in OSM dataset.,MGAE,2026-09-06T11:41:48.378092
SDI,station_code,MEDIUM,OGD station code 'SDI' not found in OSM dataset.,SDI,2026-09-06T11:41:48.378092
DKGS,station_code,MEDIUM,OGD station code 'DKGS' not found in OSM dataset.,DKGS,2026-09-06T11:41:48.378092
BCA,station_code,MEDIUM,OGD station code 'BCA' not found in OSM dataset.,BCA,2026-09-06T11:41:48.378092
NAZJ,station_code,MEDIUM,OGD station code 'NAZJ' not found in OSM dataset.,NAZJ,2026-09-06T11:41:48.378092
UJP,station_code,MEDIUM,OGD station code 'UJP' not found in OSM dataset.,UJP,2026-09-06T11:41:48.378092
KPGM,station_code,MEDIUM,OGD station code 'KPGM' not found in OSM dataset.,KPGM,2026-09-06T11:41:48.378092
GRL,station_code,MEDIUM,OGD station code 'GRL' not found in OSM dataset.,GRL,2026-09-06T11:41:48.378092
NYO,station_code,MEDIUM,OGD station code 'NYO' not found in OSM dataset.,NYO,2026-09-06T11:41:48.378092
DDP,station_code,MEDIUM,OGD station code 'DDP' not found in OSM dataset.,DDP,2026-09-06T11:41:48.378092
EKMA,station_code,MEDIUM,OGD station code 'EKMA' not found in OSM dataset.,EKMA,2026-09-06T11:41:48.378092
CW,station_code,MEDIUM,OGD station code 'CW' not found in OSM dataset.,CW,2026-09-06T11:41:48.378092
ZRDE,station_code,MEDIUM,OGD station code 'ZRDE' not found in OSM dataset.,ZRDE,2026-09-06T11:41:48.378092
HLDD,station_code,MEDIUM,OGD station code 'HLDD' not found in OSM dataset.,HLDD,2026-09-06T11:41:48.378092
RNPR,station_code,MEDIUM,OGD station code 'RNPR' not found in OSM dataset.,RNPR,2026-09-06T11:41:48.378092
TGA,station_code,MEDIUM,OGD station code 'TGA' not found in OSM dataset.,TGA,2026-09-06T11:41:48.378092
DUBH,station_code,MEDIUM,OGD station code 'DUBH' not found in OSM dataset.,DUBH,2026-09-06T11:41:48.378092
SIHO,station_code,MEDIUM,OGD station code 'SIHO' not found in OSM dataset.,SIHO,2026-09-06T11:41:48.378092
SLT,station_code,MEDIUM,OGD station code 'SLT' not found in OSM dataset.,SLT,2026-09-06T11:41:48.378092
NRPA,station_code,MEDIUM,OGD station code 'NRPA' not found in OSM dataset.,NRPA,2026-09-06T11:41:48.378092
RGH,station_code,MEDIUM,OGD station code 'RGH' not found in OSM dataset.,RGH,2026-09-06T11:41:48.378092
STJT,station_code,MEDIUM,OGD station code 'STJT' not found in OSM dataset.,STJT,2026-09-06T11:41:48.378092
BHW,station_code,MEDIUM,OGD station code 'BHW' not found in OSM dataset.,BHW,2026-09-06T11:41:48.383010
TPH,station_code,MEDIUM,OGD station code 'TPH' not found in OSM dataset.,TPH,2026-09-06T11:41:48.383010
SBG,station_code,MEDIUM,OGD station code 'SBG' not found in OSM dataset.,SBG,2026-09-06T11:41:48.383010
PPT,station_code,MEDIUM,OGD station code 'PPT' not found in OSM dataset.,PPT,2026-09-06T11:41:48.383010
CLG,station_code,MEDIUM,OGD station code 'CLG' not found in OSM dataset.,CLG,2026-09-06T11:41:48.383010
AKN,station_code,MEDIUM,OGD station code 'AKN' not found in OSM dataset.,AKN,2026-09-06T11:41:48.383010
UREN,station_code,MEDIUM,OGD station code 'UREN' not found in OSM dataset.,UREN,2026-09-06T11:41:48.383010
SRY,station_code,MEDIUM,OGD station code 'SRY' not found in OSM dataset.,SRY,2026-09-06T11:41:48.383010
SHK,station_code,MEDIUM,OGD station code 'SHK' not found in OSM dataset.,SHK,2026-09-06T11:41:48.383010
KSC,station_code,MEDIUM,OGD station code 'KSC' not found in OSM dataset.,KSC,2026-09-06T11:41:48.383010
WRS,station_code,MEDIUM,OGD station code 'WRS' not found in OSM dataset.,WRS,2026-09-06T11:41:48.383010
TIA,station_code,MEDIUM,OGD station code 'TIA' not found in OSM dataset.,TIA,2026-09-06T11:41:48.383010
WZJ,station_code,MEDIUM,OGD station code 'WZJ' not found in OSM dataset.,WZJ,2026-09-06T11:41:48.383010
CNS,station_code,MEDIUM,OGD station code 'CNS' not found in OSM dataset.,CNS,2026-09-06T11:41:48.383010
BSAE,station_code,MEDIUM,OGD station code 'BSAE' not found in OSM dataset.,BSAE,2026-09-06T11:41:48.383010
TBAE,station_code,MEDIUM,OGD station code 'TBAE' not found in OSM dataset.,TBAE,2026-09-06T11:41:48.383010
KJU,station_code,MEDIUM,OGD station code 'KJU' not found in OSM dataset.,KJU,2026-09-06T11:41:48.383010
DMLE,station_code,MEDIUM,OGD station code 'DMLE' not found in OSM dataset.,DMLE,2026-09-06T11:41:48.383010
KMAE,station_code,MEDIUM,OGD station code 'KMAE' not found in OSM dataset.,KMAE,2026-09-06T11:41:48.383010
JIT,station_code,MEDIUM,OGD station code 'JIT' not found in OSM dataset.,JIT,2026-09-06T11:41:48.383010
BGAE,station_code,MEDIUM,OGD station code 'BGAE' not found in OSM dataset.,BGAE,2026-09-06T11:41:48.383010
SOAE,station_code,MEDIUM,OGD station code 'SOAE' not found in OSM dataset.,SOAE,2026-09-06T11:41:48.383010
BHLA,station_code,MEDIUM,OGD station code 'BHLA' not found in OSM dataset.,BHLA,2026-09-06T11:41:48.383010
GPAE,station_code,MEDIUM,OGD station code 'GPAE' not found in OSM dataset.,GPAE,2026-09-06T11:41:48.383010
ABKA,station_code,MEDIUM,OGD station code 'ABKA' not found in OSM dataset.,ABKA,2026-09-06T11:41:48.383010
BGRA,station_code,MEDIUM,OGD station code 'BGRA' not found in OSM dataset.,BGRA,2026-09-06T11:41:48.383010
DTAE,station_code,MEDIUM,OGD station code 'DTAE' not found in OSM dataset.,DTAE,2026-09-06T11:41:48.383010
SMAE,station_code,MEDIUM,OGD station code 'SMAE' not found in OSM dataset.,SMAE,2026-09-06T11:41:48.383010
PSAE,station_code,MEDIUM,OGD station code 'PSAE' not found in OSM dataset.,PSAE,2026-09-06T11:41:48.383010
SALE,station_code,MEDIUM,OGD station code 'SALE' not found in OSM dataset.,SALE,2026-09-06T11:41:48.383010
BZLE,station_code,MEDIUM,OGD station code 'BZLE' not found in OSM dataset.,BZLE,2026-09-06T11:41:48.383010
