task_id,severity_class,overdue_days,traffic_density_class,deferred_count,actual_priority_rank
TDMS_TASK_020927,C,7,Medium,4,39.35
TDMS_TASK_022430,B,26,Low,1,64.94
TMS_TASK_025611,B,29,Low,0,59.51
TDMS_TASK_008998,C,1,Low,4,35.68
SMMS_TASK_006823,C,39,High,4,72.67
TMS_TASK_029710,B,3,Critical Peak,4,54.4
TMS_TASK_015737,C,21,Medium,1,40.4
SMMS_TASK_022860,B,14,Critical Peak,5,78.34
TDMS_TASK_000459,C,13,Critical Peak,4,57.38
TMS_TASK_001901,C,18,Medium,3,45.53
TDMS_TASK_020693,A,19,Low,0,65.59
TDMS_TASK_004461,C,4,Low,2,24.35
TMS_TASK_019789,B,10,High,4,69.2
TMS_TASK_003045,A,5,Critical Peak,1,74.42
SMMS_TASK_001563,A,36,Low,2,91.87
TMS_TASK_007830,B,3,Low,5,53.66
TMS_TASK_010766,B,9,Critical Peak,2,56.41
SMMS_TASK_002366,C,30,Low,1,49.52
SMMS_TASK_023509,B,14,Low,4,61.16
TMS_TASK_015922,A,13,Low,4,80.28
SMMS_TASK_021094,B,32,High,3,77.19
TMS_TASK_004467,C,22,High,3,57.14
TMS_TASK_019580,A,42,Critical Peak,1,94.56
SMMS_TASK_016344,B,39,High,5,92.24
SMMS_TASK_013978,C,3,Medium,3,31.82
TDMS_TASK_001396,A,24,Critical Peak,2,95.06
TMS_TASK_024108,C,2,High,5,44.05
TDMS_TASK_003156,A,3,Critical Peak,4,84.13
TDMS_TASK_005374,A,6,Critical Peak,5,95.26
TDMS_TASK_022048,C,6,High,5,47.95
TMS_TASK_024757,C,35,High,0,58.64
TMS_TASK_017166,B,5,High,5,60.91
TDMS_TASK_022607,C,18,Medium,0,31.12
SMMS_TASK_003251,B,21,Low,1,57.29
TMS_TASK_005905,A,27,High,1,92.92
SMMS_TASK_011492,B,30,Critical Peak,1,80.74
SMMS_TASK_009359,A,3,Medium,0,48.59
TMS_TASK_013764,B,42,Critical Peak,3,88.0
TDMS_TASK_011112,C,29,Critical Peak,0,58.23
SMMS_TASK_018793,B,20,High,4,77.68
TDMS_TASK_001176,A,17,Low,3,79.83
TMS_TASK_025226,B,11,Low,2,50.85
TDMS_TASK_019124,B,35,Medium,5,90.31
TDMS_TASK_017431,A,44,Medium,0,83.25
TDMS_TASK_014305,B,29,High,5,86.52
SMMS_TASK_017317,B,16,Medium,1,50.98
TMS_TASK_029943,B,9,High,1,49.34
SMMS_TASK_006963,C,2,High,4,45.92
TDMS_TASK_019603,B,43,Critical Peak,2,81.33
TDMS_TASK_006832,A,37,Critical Peak,2,99.57
TDMS_TASK_011284,C,29,Low,1,50.82
TDMS_TASK_018215,B,12,Critical Peak,5,75.08
TDMS_TASK_017895,C,17,Low,4,44.54
TMS_TASK_016062,A,43,Medium,2,93.28
TDMS_TASK_010967,C,1,Medium,2,23.23
SMMS_TASK_001065,B,14,Critical Peak,3,72.17
TDMS_TASK_019065,A,8,Critical Peak,4,92.64
SMMS_TASK_007297,C,34,Critical Peak,4,74.03
TDMS_TASK_000126,B,36,Low,4,77.9
TDMS_TASK_017805,A,35,Critical Peak,0,93.74
TDMS_TASK_019684,A,33,High,3,100.0
TMS_TASK_014020,A,43,Low,3,99.53
TMS_TASK_019142,C,43,High,3,76.98
TMS_TASK_017879,A,22,Critical Peak,4,100.0
TDMS_TASK_018247,B,42,Medium,1,66.29
SMMS_TASK_013535,B,28,Low,5,81.94
SMMS_TASK_009958,B,27,Critical Peak,5,91.32
SMMS_TASK_009771,C,15,Low,4,50.75
SMMS_TASK_003058,B,2,Low,1,36.34
TMS_TASK_012089,B,15,Critical Peak,0,56.17
TDMS_TASK_006923,C,10,Medium,1,33.78
TMS_TASK_009714,B,9,Medium,2,47.33
TDMS_TASK_021934,C,16,Low,2,44.79
TDMS_TASK_019669,C,2,Low,2,31.51
SMMS_TASK_007527,B,2,High,3,57.32
TMS_TASK_026033,C,16,Low,1,40.1
TDMS_TASK_015340,C,2,Medium,2,22.91
TMS_TASK_028920,C,43,Critical Peak,0,57.36
TDMS_TASK_012285,A,32,Low,5,100.0
TMS_TASK_009926,B,39,Critical Peak,0,74.42
TMS_TASK_004587,B,37,Medium,0,62.33
TDMS_TASK_004605,B,31,Low,2,71.38
SMMS_TASK_004569,B,29,Critical Peak,4,85.57
TDMS_TASK_003223,B,5,High,4,53.12
TDMS_TASK_012818,C,15,Medium,2,41.01
TDMS_TASK_019670,B,19,High,3,71.33
TMS_TASK_024703,B,2,Low,4,51.07
TMS_TASK_003294,A,35,Medium,4,99.01
SMMS_TASK_004407,C,35,Medium,2,58.57
TMS_TASK_017440,A,39,Critical Peak,0,89.18
TDMS_TASK_010823,B,32,Medium,2,69.91
TMS_TASK_021960,B,2,Low,4,54.49
TMS_TASK_010093,C,24,Low,4,56.0
SMMS_TASK_005797,A,11,Low,1,67.7
SMMS_TASK_020166,A,27,Critical Peak,0,84.5
TMS_TASK_019737,C,5,Low,5,42.03
TMS_TASK_019806,B,22,High,1,66.82
TMS_TASK_028472,B,14,Critical Peak,5,76.75
SMMS_TASK_014341,B,13,Critical Peak,0,54.93
TMS_TASK_025925,B,13,High,5,70.27
SMMS_TASK_010879,A,10,Medium,1,64.32
SMMS_TASK_002607,C,13,Medium,4,48.48
TDMS_TASK_018688,B,23,Medium,0,55.69
TDMS_TASK_005520,B,36,Critical Peak,3,89.12
SMMS_TASK_024873,A,18,High,3,92.71
TMS_TASK_004103,A,33,High,2,93.83
SMMS_TASK_000767,B,2,Medium,2,39.04
TDMS_TASK_002661,B,43,High,3,78.84
SMMS_TASK_007992,A,44,High,5,100.0
SMMS_TASK_016733,C,32,Low,0,50.65
SMMS_TASK_023683,C,44,Low,4,62.0
SMMS_TASK_008341,C,33,Low,2,56.29
TMS_TASK_008922,B,0,Medium,4,46.13
TMS_TASK_001826,B,5,Critical Peak,4,53.42
TMS_TASK_005274,A,1,Low,4,68.81
SMMS_TASK_018149,B,38,High,1,71.23
TMS_TASK_019719,B,37,Medium,0,59.13
TMS_TASK_015877,A,2,Critical Peak,1,63.56
TMS_TASK_023676,A,44,Medium,5,100.0
SMMS_TASK_004816,A,11,Medium,3,73.34
SMMS_TASK_002264,B,37,Critical Peak,0,73.75
SMMS_TASK_007774,A,36,High,0,89.57
SMMS_TASK_012214,A,7,Low,3,76.33
TDMS_TASK_012951,B,44,High,1,68.04
TDMS_TASK_003202,C,24,Medium,0,44.55
SMMS_TASK_017043,B,22,Low,0,59.33
TMS_TASK_010647,B,9,Low,5,65.42
TDMS_TASK_022144,A,43,Low,1,82.29
TDMS_TASK_001142,C,23,High,2,59.13
SMMS_TASK_023386,A,29,High,5,100.0
TDMS_TASK_016472,C,44,High,0,52.66
TDMS_TASK_023950,B,35,Low,0,65.27
TDMS_TASK_014506,A,4,High,3,72.85
TMS_TASK_018486,C,25,Medium,2,52.5
SMMS_TASK_014830,B,30,Medium,0,60.14
TDMS_TASK_001491,B,6,Low,3,54.73
TDMS_TASK_005814,C,0,Medium,4,37.13
TMS_TASK_002476,B,40,Critical Peak,1,78.87
SMMS_TASK_007161,B,14,Critical Peak,1,60.89
TMS_TASK_007575,C,33,Medium,3,64.96
SMMS_TASK_000178,C,19,High,5,60.91
TDMS_TASK_022734,B,14,Critical Peak,0,54.0
SMMS_TASK_000582,B,8,Low,3,55.54
SMMS_TASK_004716,B,17,High,0,52.43
TDMS_TASK_005328,C,1,Medium,0,10.73
SMMS_TASK_020356,A,21,High,5,99.7
TDMS_TASK_012651,C,0,Low,3,26.1
TMS_TASK_000279,C,7,Critical Peak,5,53.09
TDMS_TASK_001949,A,41,Medium,4,100.0
SMMS_TASK_008916,B,36,Critical Peak,2,85.93
SMMS_TASK_019363,B,21,Medium,5,71.39
TDMS_TASK_011400,B,26,Low,1,67.43
TDMS_TASK_001316,B,4,Medium,3,50.69
TMS_TASK_016129,A,15,Critical Peak,4,90.64
TDMS_TASK_006114,B,2,High,4,53.55
TMS_TASK_015555,B,11,Medium,0,44.22
TDMS_TASK_000250,C,5,High,4,44.45
TDMS_TASK_011300,C,9,High,2,37.63
TMS_TASK_027406,A,44,High,3,100.0
TDMS_TASK_012284,B,42,Medium,0,62.43
TDMS_TASK_018321,B,31,Low,0,67.37
TMS_TASK_016965,B,36,Low,2,73.28
TMS_TASK_006852,B,19,Low,1,54.78
TDMS_TASK_006395,B,31,High,1,70.54
SMMS_TASK_002370,B,38,Critical Peak,3,84.15
SMMS_TASK_012363,B,9,Critical Peak,1,53.08
TMS_TASK_028666,A,6,Medium,4,78.98
TMS_TASK_009808,A,11,Critical Peak,4,89.85
SMMS_TASK_022822,B,22,Medium,0,52.41
TMS_TASK_021235,B,19,High,4,73.13
SMMS_TASK_004972,B,2,High,4,51.44
TMS_TASK_013003,C,36,Critical Peak,4,75.46
TMS_TASK_021330,B,38,Low,0,63.43
SMMS_TASK_020989,B,19,Critical Peak,4,78.69
TDMS_TASK_012505,B,4,Medium,4,59.48
SMMS_TASK_023029,B,18,Critical Peak,4,79.7
TMS_TASK_004561,A,14,Critical Peak,5,92.41
SMMS_TASK_015213,B,27,Critical Peak,4,92.03
TDMS_TASK_005562,C,2,Medium,1,23.2
TMS_TASK_010547,B,17,Low,1,50.24
TDMS_TASK_002307,C,25,Low,4,61.68
TMS_TASK_013050,A,10,Medium,2,68.12
TMS_TASK_027970,B,26,Medium,1,66.6
TMS_TASK_006943,A,32,Medium,1,85.54
TDMS_TASK_018903,B,39,High,0,72.06
TMS_TASK_009881,C,41,Medium,4,73.6
TDMS_TASK_023253,B,21,High,4,80.81
TDMS_TASK_021504,C,4,Critical Peak,2,39.85
TMS_TASK_020065,B,1,High,3,50.4
TMS_TASK_027700,A,6,High,1,64.34
TMS_TASK_017619,B,36,Medium,2,73.73
SMMS_TASK_012646,A,26,High,2,95.17
TDMS_TASK_021296,B,43,High,5,91.89
TDMS_TASK_004651,A,30,Critical Peak,0,92.72
TDMS_TASK_000801,A,37,Critical Peak,2,100.0
TDMS_TASK_001427,A,8,Critical Peak,2,79.41
SMMS_TASK_016913,A,16,High,5,91.91
TMS_TASK_005383,B,27,Low,4,79.26
TMS_TASK_004392,B,27,High,4,82.54
TMS_TASK_029332,A,5,Medium,5,72.68
TMS_TASK_003939,A,36,Medium,2,91.66
TMS_TASK_023654,B,26,High,3,73.68
TMS_TASK_013554,A,2,Medium,0,53.73
TMS_TASK_023970,C,2,Medium,2,26.97
SMMS_TASK_005877,B,34,Medium,4,79.27
SMMS_TASK_024069,B,4,Medium,5,61.07
TMS_TASK_017498,C,30,Critical Peak,1,60.39
TDMS_TASK_002370,A,32,High,0,86.95
SMMS_TASK_008209,C,0,Medium,4,32.78
SMMS_TASK_000690,B,16,Low,3,58.46
SMMS_TASK_024295,A,34,High,0,83.01
TMS_TASK_003676,B,41,Medium,1,71.76
TMS_TASK_025522,B,14,Critical Peak,0,53.28
TMS_TASK_019252,C,24,Medium,0,43.13
TDMS_TASK_006039,B,35,Low,0,66.75
TDMS_TASK_022577,C,33,Critical Peak,3,70.09
TDMS_TASK_001329,B,11,Critical Peak,4,73.11
TMS_TASK_006785,C,31,High,5,74.68
SMMS_TASK_007085,B,23,High,4,83.49
TDMS_TASK_014086,A,36,Medium,1,95.47
SMMS_TASK_017291,A,44,Medium,2,88.84
SMMS_TASK_022127,B,35,Critical Peak,1,75.61
TMS_TASK_014697,B,37,Critical Peak,4,87.49
SMMS_TASK_003783,C,44,Medium,0,46.38
TMS_TASK_027140,A,32,High,3,96.78
TMS_TASK_015045,B,17,High,2,62.5
TMS_TASK_025888,B,21,Medium,1,54.06
SMMS_TASK_012082,B,20,Medium,3,60.72
TDMS_TASK_004239,A,11,High,5,85.43
TDMS_TASK_020086,A,36,High,5,100.0
TMS_TASK_023589,A,8,Low,0,54.01
TDMS_TASK_005348,B,0,Low,0,27.61
TMS_TASK_011026,C,39,Medium,0,45.84
TMS_TASK_007746,B,38,High,0,67.63
SMMS_TASK_006596,A,31,Medium,3,95.25
TDMS_TASK_010759,B,27,High,1,65.82
SMMS_TASK_003581,B,30,High,3,77.77
SMMS_TASK_017515,B,43,High,4,85.69
SMMS_TASK_009742,A,0,Low,0,49.28
TDMS_TASK_003229,C,34,Medium,1,50.05
TDMS_TASK_002737,A,1,Low,4,69.14
TMS_TASK_019176,C,41,High,2,67.97
TMS_TASK_012990,B,40,Medium,2,73.85
SMMS_TASK_004802,A,9,Medium,1,63.43
TDMS_TASK_000308,C,36,Critical Peak,5,87.11
TDMS_TASK_005138,C,27,Critical Peak,2,59.77
TMS_TASK_029560,B,17,Critical Peak,4,76.86
SMMS_TASK_011013,B,42,Low,5,82.8
SMMS_TASK_006619,B,25,Medium,3,65.79
TDMS_TASK_008660,C,43,High,1,55.39
TDMS_TASK_007528,B,5,Medium,2,44.13
SMMS_TASK_010272,B,38,Low,2,69.9
SMMS_TASK_017726,C,30,Low,1,55.6
TMS_TASK_015871,B,15,Medium,3,52.72
TMS_TASK_025178,B,26,Low,5,85.16
TDMS_TASK_006796,B,18,Medium,0,50.11
TMS_TASK_004719,A,19,Critical Peak,5,100.0
TMS_TASK_005307,B,8,Medium,5,63.25
TDMS_TASK_005049,B,8,Medium,2,47.25
TDMS_TASK_014038,B,39,Low,1,59.71
SMMS_TASK_005531,A,21,Low,5,99.72
TMS_TASK_004513,C,41,Low,1,54.51
SMMS_TASK_018710,A,21,Critical Peak,1,89.19
TMS_TASK_012936,A,11,High,2,78.94
TDMS_TASK_008731,B,7,Critical Peak,1,49.21
TMS_TASK_014735,C,38,Medium,5,66.31
TMS_TASK_014873,B,33,Low,0,61.3
SMMS_TASK_024836,B,24,High,0,63.28
TMS_TASK_000627,B,43,Low,0,57.64
TDMS_TASK_003319,C,42,Medium,4,65.15
TMS_TASK_021318,B,18,Low,2,60.31
TMS_TASK_000795,C,44,Medium,0,44.26
TDMS_TASK_010492,B,11,Critical Peak,5,80.03
SMMS_TASK_011557,B,17,Critical Peak,0,55.02
TMS_TASK_011454,B,34,Low,2,71.73
TMS_TASK_009542,B,4,Low,1,40.38
TMS_TASK_020514,B,16,Critical Peak,2,66.58
TMS_TASK_003236,A,35,Low,2,87.93
TDMS_TASK_018303,C,1,Medium,4,34.51
TDMS_TASK_008802,B,43,Medium,2,69.46
TMS_TASK_000797,B,11,Critical Peak,3,63.56
TMS_TASK_020403,A,36,Low,3,90.37
TDMS_TASK_012321,B,28,Medium,3,75.63
TDMS_TASK_006616,B,10,Low,1,49.55
TDMS_TASK_017990,A,15,Medium,5,90.33
TDMS_TASK_014122,A,11,Medium,4,85.85
TMS_TASK_013523,A,5,Medium,4,68.65
TDMS_TASK_011660,A,3,Low,5,72.46
TMS_TASK_012776,A,36,Low,3,97.47
TMS_TASK_016549,A,18,Low,2,76.44
TDMS_TASK_005448,B,13,Critical Peak,0,52.5
TMS_TASK_018762,A,16,Low,0,66.42
SMMS_TASK_014828,B,44,Medium,5,90.92
TDMS_TASK_014815,A,15,High,3,87.05
TMS_TASK_029549,C,0,Critical Peak,4,44.54
SMMS_TASK_023453,A,33,Medium,2,89.28
TMS_TASK_009950,B,20,Low,0,51.31
SMMS_TASK_004766,B,12,Critical Peak,5,73.53
SMMS_TASK_011747,B,24,Low,0,57.16
TDMS_TASK_011670,B,35,Medium,1,74.02
TDMS_TASK_022764,B,1,Critical Peak,2,48.15
TMS_TASK_011887,B,1,Low,0,33.15
TMS_TASK_018649,B,32,High,1,68.87
SMMS_TASK_012578,A,19,High,3,88.6
SMMS_TASK_021161,C,29,Low,4,63.94
SMMS_TASK_004623,A,6,Critical Peak,1,69.99
TMS_TASK_004682,C,17,Critical Peak,1,48.99
TMS_TASK_009541,B,15,High,2,58.73
TDMS_TASK_023108,A,3,Medium,2,63.36
TMS_TASK_026943,B,34,Critical Peak,0,69.3
SMMS_TASK_006478,B,21,Medium,1,62.4
SMMS_TASK_018937,A,6,Medium,5,84.36
TMS_TASK_005153,A,42,Medium,0,86.25
TMS_TASK_007126,B,23,High,3,71.83
TDMS_TASK_012540,B,39,Critical Peak,4,88.69
TDMS_TASK_012466,B,4,Critical Peak,1,48.71
TDMS_TASK_008822,B,6,Medium,2,46.35
TMS_TASK_025828,A,1,Critical Peak,5,86.63
TMS_TASK_004128,A,28,High,1,84.87
SMMS_TASK_014304,C,30,Medium,2,56.34
TDMS_TASK_017280,B,38,Low,4,82.55
TMS_TASK_008590,B,8,Critical Peak,1,56.37
SMMS_TASK_003538,B,30,Medium,3,76.42
TDMS_TASK_005730,B,15,Low,0,43.83
TDMS_TASK_004005,B,17,High,5,75.63
SMMS_TASK_023025,B,10,Low,3,55.17
TDMS_TASK_018367,B,18,Critical Peak,0,55.1
TMS_TASK_008348,B,1,Critical Peak,4,60.68
SMMS_TASK_000304,B,40,Critical Peak,0,74.37
SMMS_TASK_020195,B,16,Critical Peak,1,60.85
TDMS_TASK_007968,A,38,Critical Peak,0,96.21
SMMS_TASK_008069,C,29,Low,2,57.09
TMS_TASK_006767,A,38,High,3,100.0
SMMS_TASK_005915,B,30,Critical Peak,1,80.68
TMS_TASK_002281,C,40,High,3,62.63
TMS_TASK_012443,A,12,High,5,88.02
SMMS_TASK_004418,B,29,High,0,70.07
TDMS_TASK_003398,A,5,Critical Peak,0,70.91
SMMS_TASK_020262,C,32,High,2,63.3
TMS_TASK_014743,B,29,Critical Peak,4,88.08
TMS_TASK_018022,C,38,Low,3,57.86
SMMS_TASK_017024,B,35,Medium,3,79.77
TMS_TASK_013134,B,15,Critical Peak,1,61.06
TMS_TASK_018190,B,30,Low,1,70.95
TMS_TASK_000643,C,16,Low,2,41.58
SMMS_TASK_017501,C,7,Critical Peak,3,46.19
TMS_TASK_028764,B,20,Critical Peak,2,75.18
SMMS_TASK_003789,C,31,High,1,67.36
TMS_TASK_010465,B,26,Critical Peak,1,71.57
TMS_TASK_002064,B,4,Medium,1,43.98
SMMS_TASK_004862,C,24,High,5,69.97
SMMS_TASK_023651,C,43,Critical Peak,0,59.04
TDMS_TASK_018345,B,6,Low,4,51.84
SMMS_TASK_015412,B,8,Medium,0,37.91
TDMS_TASK_000395,B,27,Medium,2,68.14
TDMS_TASK_001924,C,19,Medium,5,58.65
SMMS_TASK_016327,C,23,Low,2,51.11
SMMS_TASK_003348,A,20,Medium,0,66.86
SMMS_TASK_013591,C,22,High,4,61.22
TMS_TASK_002038,C,13,Medium,0,28.56
TDMS_TASK_011470,B,25,High,2,72.77
SMMS_TASK_021592,C,8,High,3,42.15
TDMS_TASK_000032,A,41,Low,2,89.59
TDMS_TASK_018306,B,44,Medium,1,68.43
TMS_TASK_027130,B,20,Medium,0,58.45
SMMS_TASK_012385,B,42,High,5,95.98
TMS_TASK_012992,A,17,Low,5,87.67
SMMS_TASK_014338,A,19,Critical Peak,2,88.69
SMMS_TASK_019835,A,32,Medium,0,83.55
TDMS_TASK_024007,B,24,Medium,4,72.62
TMS_TASK_010976,C,8,Critical Peak,3,54.42
TMS_TASK_009282,B,30,High,5,85.12
SMMS_TASK_007523,B,22,Critical Peak,2,69.88
TDMS_TASK_022325,B,15,High,5,71.33
TDMS_TASK_023396,B,33,Critical Peak,0,70.65
TMS_TASK_005755,A,2,Medium,1,58.56
SMMS_TASK_023173,A,29,Low,5,100.0
TDMS_TASK_000586,B,30,Critical Peak,3,87.87
TMS_TASK_024969,C,32,Medium,1,55.66
TMS_TASK_013543,B,8,High,4,64.54
TDMS_TASK_002823,A,29,Critical Peak,3,100.0
SMMS_TASK_005539,B,40,Critical Peak,2,82.31
TDMS_TASK_020103,A,10,Medium,2,69.75
TMS_TASK_007096,A,8,Low,2,70.35
TMS_TASK_000713,C,16,Low,2,40.4
TDMS_TASK_000924,A,10,Medium,3,73.18
TMS_TASK_011530,C,23,Medium,3,59.3
TMS_TASK_011043,B,22,Low,3,71.09
TDMS_TASK_016187,A,26,Low,4,97.07
TMS_TASK_003851,A,41,Medium,0,80.77
TDMS_TASK_014080,A,0,High,2,62.32
TMS_TASK_026332,A,0,Medium,0,52.99
TDMS_TASK_001534,B,44,Medium,5,83.81
TMS_TASK_025739,A,15,High,2,83.23
TMS_TASK_028181,C,29,High,0,52.09
TDMS_TASK_021331,A,32,Critical Peak,5,100.0
TMS_TASK_003134,B,27,Medium,0,62.55
TDMS_TASK_021889,C,42,Critical Peak,2,63.77
SMMS_TASK_004002,B,2,Critical Peak,2,52.2
TDMS_TASK_008386,A,23,Critical Peak,4,100.0
SMMS_TASK_022563,B,9,High,2,52.25
TMS_TASK_000925,B,21,Critical Peak,2,68.06
TMS_TASK_016341,B,41,Low,2,70.09
TMS_TASK_006032,C,23,Medium,2,46.2
SMMS_TASK_016421,C,34,Medium,3,65.56
SMMS_TASK_017080,C,15,High,4,55.05
TMS_TASK_019399,C,18,Medium,4,52.51
SMMS_TASK_024691,B,37,Critical Peak,0,73.8
SMMS_TASK_022092,C,28,Critical Peak,4,74.2
TDMS_TASK_012387,C,1,Low,1,19.84
TMS_TASK_010089,B,38,Medium,5,88.43
TMS_TASK_026000,B,3,High,1,43.37
SMMS_TASK_007618,A,31,High,5,100.0
TMS_TASK_003219,A,42,High,5,100.0
TDMS_TASK_014396,B,16,High,0,50.36
SMMS_TASK_009882,A,40,High,1,95.72
TDMS_TASK_009253,B,41,Medium,3,75.78
TDMS_TASK_022545,C,6,Medium,0,25.72
TDMS_TASK_006926,B,12,High,1,47.7
TMS_TASK_019589,B,36,Critical Peak,1,78.6
TMS_TASK_003317,C,32,Low,1,51.25
TMS_TASK_007909,A,35,Low,0,88.55
SMMS_TASK_001115,A,3,Medium,3,65.87
TMS_TASK_024981,C,23,Critical Peak,2,58.84
TDMS_TASK_014253,B,33,Critical Peak,2,78.93
TDMS_TASK_011998,A,1,Medium,0,55.49
TMS_TASK_021677,A,5,Medium,5,73.83
TMS_TASK_027723,A,3,High,3,68.42
TMS_TASK_005855,C,42,Critical Peak,3,72.49
SMMS_TASK_000834,C,13,Critical Peak,1,42.52
TDMS_TASK_012651,B,13,Critical Peak,0,56.82
SMMS_TASK_005672,B,0,High,1,39.56
SMMS_TASK_002938,B,27,Low,5,82.9
SMMS_TASK_008887,C,4,High,1,28.44
TDMS_TASK_022937,B,22,Medium,3,71.59
SMMS_TASK_006480,C,6,Low,3,35.73
TMS_TASK_022202,A,19,Critical Peak,4,96.74
SMMS_TASK_017876,A,30,Low,2,92.65
TMS_TASK_008281,B,28,Low,2,68.37
TDMS_TASK_004753,B,31,High,2,76.29
TMS_TASK_002566,B,3,Critical Peak,3,56.79
TDMS_TASK_006113,B,27,Low,3,74.24
TMS_TASK_027514,B,22,Critical Peak,5,83.74
SMMS_TASK_019087,B,39,Critical Peak,1,79.39
TDMS_TASK_005967,B,44,Medium,3,74.9
SMMS_TASK_017022,C,21,Critical Peak,4,65.81
SMMS_TASK_001028,A,3,Low,4,73.68
TMS_TASK_013284,C,12,Critical Peak,4,54.2
SMMS_TASK_015296,A,2,Critical Peak,5,82.61
TMS_TASK_011783,B,0,Medium,4,49.93
TMS_TASK_006300,B,33,Medium,4,84.71
TMS_TASK_021225,B,29,High,1,72.92
TDMS_TASK_018286,B,1,High,5,56.83
SMMS_TASK_006343,C,27,Low,1,47.55
TMS_TASK_020908,B,9,High,1,50.68
TDMS_TASK_001275,A,11,Critical Peak,5,93.16
SMMS_TASK_002850,A,5,Critical Peak,4,79.11
TMS_TASK_006849,B,24,Medium,4,72.38
TDMS_TASK_018355,A,25,Low,0,75.32
SMMS_TASK_000309,A,40,High,4,100.0
TMS_TASK_019236,B,29,Medium,3,78.97
TDMS_TASK_005548,B,14,Low,5,70.84
TMS_TASK_006675,B,1,Medium,2,43.13
SMMS_TASK_002908,B,40,High,3,79.59
TMS_TASK_012108,B,10,Critical Peak,0,54.25
TMS_TASK_012216,B,30,Critical Peak,2,80.84
TDMS_TASK_008117,B,22,High,4,78.42
SMMS_TASK_018080,B,6,Medium,3,53.42
TMS_TASK_027334,A,0,Critical Peak,4,73.97
TMS_TASK_015303,C,42,Critical Peak,1,61.09
TMS_TASK_016436,C,18,Low,3,50.16
TDMS_TASK_009609,B,3,Low,2,40.89
TMS_TASK_015387,A,35,Low,3,97.79
TMS_TASK_010785,C,40,Medium,0,44.32
SMMS_TASK_017281,B,13,Critical Peak,4,72.14
TMS_TASK_009971,A,36,Critical Peak,5,100.0
TMS_TASK_027577,C,40,High,3,65.19
TMS_TASK_010534,B,20,Critical Peak,5,83.41
TMS_TASK_020295,C,44,High,1,61.59
TDMS_TASK_012503,B,39,Low,1,69.07
TDMS_TASK_005603,B,14,High,2,56.96
TMS_TASK_011294,A,7,Critical Peak,0,63.54
SMMS_TASK_013952,A,23,Low,5,98.16
TMS_TASK_003908,C,27,Low,5,66.59
TDMS_TASK_007239,A,13,High,0,70.18
TDMS_TASK_017087,B,33,High,0,66.41
SMMS_TASK_021852,B,16,Critical Peak,5,78.61
TMS_TASK_016708,B,41,Medium,2,76.74
TDMS_TASK_014157,B,13,High,5,68.23
TMS_TASK_023426,A,44,Low,2,93.27
TDMS_TASK_009406,B,25,Critical Peak,3,79.32
TDMS_TASK_019676,B,22,High,3,72.23
TDMS_TASK_006544,C,7,High,2,32.31
TDMS_TASK_022299,B,12,High,0,41.64
SMMS_TASK_015846,B,23,Critical Peak,0,68.96
TMS_TASK_019392,C,12,Low,3,41.99
SMMS_TASK_016236,B,1,High,2,44.94
TMS_TASK_012219,B,10,Medium,5,64.62
SMMS_TASK_020792,B,34,Low,3,78.9
TMS_TASK_014922,B,7,High,5,61.08
SMMS_TASK_005960,A,18,Medium,4,88.05
TMS_TASK_023792,B,29,Medium,2,74.24
TMS_TASK_026012,B,42,Critical Peak,1,79.9
TMS_TASK_029549,B,28,Low,0,58.73
TDMS_TASK_009005,B,16,High,2,60.24
TMS_TASK_001028,C,3,Medium,1,23.88
TMS_TASK_008889,B,38,High,3,81.07
SMMS_TASK_024426,A,41,Medium,0,85.49
SMMS_TASK_001810,C,27,High,5,70.7
SMMS_TASK_003167,B,36,High,3,83.2
TMS_TASK_023798,B,26,Critical Peak,2,74.95
SMMS_TASK_012866,B,37,High,2,76.53
TDMS_TASK_011987,B,42,Critical Peak,4,92.62
SMMS_TASK_006600,B,30,Low,3,71.83
SMMS_TASK_000488,C,4,Low,2,28.75
TDMS_TASK_014273,B,24,Low,1,60.07
SMMS_TASK_023422,B,13,High,4,65.87
TMS_TASK_003414,A,12,Medium,0,64.77
TDMS_TASK_022209,B,23,Low,5,78.86
TMS_TASK_026612,A,29,High,2,98.78
TMS_TASK_019185,B,13,Medium,4,59.11
TMS_TASK_011173,B,15,Critical Peak,0,57.76
SMMS_TASK_014986,B,26,Medium,3,73.51
TDMS_TASK_012043,B,9,Critical Peak,0,44.52
SMMS_TASK_022603,B,39,Medium,5,83.6
TMS_TASK_005159,A,19,Low,1,73.98
TMS_TASK_010641,C,34,Medium,5,70.08
TDMS_TASK_017687,A,32,Low,4,98.7
SMMS_TASK_015123,B,30,Medium,1,67.91
SMMS_TASK_012367,A,10,High,0,68.08
TMS_TASK_022496,C,20,Low,1,39.8
TDMS_TASK_013434,A,24,Medium,0,73.91
SMMS_TASK_013784,A,38,Low,4,100.0
SMMS_TASK_011884,C,15,High,4,48.67
TDMS_TASK_012735,A,9,High,1,73.33
SMMS_TASK_001682,C,41,Medium,3,61.28
TDMS_TASK_018002,B,39,Low,5,82.46
SMMS_TASK_016344,B,6,Medium,4,56.92
TMS_TASK_013014,B,16,Critical Peak,3,76.21
TMS_TASK_005850,C,9,High,3,39.19
TMS_TASK_008823,B,38,Medium,4,79.71
TDMS_TASK_023145,B,10,Medium,5,65.73
TDMS_TASK_004871,B,41,Low,3,73.66
SMMS_TASK_018891,B,42,High,0,66.97
